"Title","CPI INDEX 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100"
"CDID","D7BU"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","16-07-2025"
"Next release","20 August 2025"
"Important notes",
"1988","48.8"
"1989","51.5"
"1990","55.7"
"1991","58.6"
"1992","59.8"
"1993","60.8"
"1994","61.4"
"1995","63.7"
"1996","65.7"
"1997","65.6"
"1998","66.3"
"1999","66.4"
"2000","66.1"
"2001","68.6"
"2002","69.2"
"2003","70.0"
"2004","70.4"
"2005","71.5"
"2006","73.3"
"2007","76.6"
"2008","83.5"
"2009","88.1"
"2010","91.1"
"2011","96.0"
"2012","99.1"
"2013","102.9"
"2014","102.7"
"2015","100.0"
"2016","97.6"
"2017","99.8"
"2018","101.8"
"2019","103.2"
"2020","103.9"
"2021","104.2"
"2022","115.5"
"2023","132.3"
"2024","135.8"
"1988 Q1","48.2"
"1988 Q2","48.8"
"1988 Q3","48.7"
"1988 Q4","49.3"
"1989 Q1","50.3"
"1989 Q2","51.3"
"1989 Q3","51.5"
"1989 Q4","52.9"
"1990 Q1","54.5"
"1990 Q2","55.8"
"1990 Q3","55.8"
"1990 Q4","56.5"
"1991 Q1","57.8"
"1991 Q2","58.8"
"1991 Q3","58.7"
"1991 Q4","59.0"
"1992 Q1","60.2"
"1992 Q2","60.2"
"1992 Q3","59.4"
"1992 Q4","59.6"
"1993 Q1","60.7"
"1993 Q2","61.3"
"1993 Q3","61.2"
"1993 Q4","60.3"
"1994 Q1","60.9"
"1994 Q2","61.8"
"1994 Q3","61.5"
"1994 Q4","61.4"
"1995 Q1","62.8"
"1995 Q2","63.7"
"1995 Q3","64.2"
"1995 Q4","64.1"
"1996 Q1","65.5"
"1996 Q2","66.4"
"1996 Q3","65.9"
"1996 Q4","64.9"
"1997 Q1","65.2"
"1997 Q2","65.6"
"1997 Q3","65.9"
"1997 Q4","65.7"
"1998 Q1","65.5"
"1998 Q2","66.2"
"1998 Q3","66.6"
"1998 Q4","66.8"
"1999 Q1","67.2"
"1999 Q2","66.8"
"1999 Q3","65.9"
"1999 Q4","65.9"
"2000 Q1","65.8"
"2000 Q2","65.7"
"2000 Q3","66.3"
"2000 Q4","66.6"
"2001 Q1","67.3"
"2001 Q2","69.5"
"2001 Q3","68.8"
"2001 Q4","68.8"
"2002 Q1","69.7"
"2002 Q2","69.3"
"2002 Q3","68.8"
"2002 Q4","68.9"
"2003 Q1","69.3"
"2003 Q2","69.9"
"2003 Q3","70.0"
"2003 Q4","70.7"
"2004 Q1","70.8"
"2004 Q2","70.7"
"2004 Q3","69.8"
"2004 Q4","70.4"
"2005 Q1","71.5"
"2005 Q2","71.7"
"2005 Q3","71.2"
"2005 Q4","71.6"
"2006 Q1","71.9"
"2006 Q2","72.5"
"2006 Q3","73.7"
"2006 Q4","75.0"
"2007 Q1","75.3"
"2007 Q2","76.3"
"2007 Q3","76.0"
"2007 Q4","78.7"
"2008 Q1","79.6"
"2008 Q2","82.4"
"2008 Q3","85.3"
"2008 Q4","86.9"
"2009 Q1","88.1"
"2009 Q2","88.4"
"2009 Q3","87.5"
"2009 Q4","88.4"
"2010 Q1","89.6"
"2010 Q2","90.3"
"2010 Q3","91.2"
"2010 Q4","93.1"
"2011 Q1","94.7"
"2011 Q2","95.4"
"2011 Q3","96.9"
"2011 Q4","97.1"
"2012 Q1","98.4"
"2012 Q2","98.6"
"2012 Q3","98.9"
"2012 Q4","100.6"
"2013 Q1","102.2"
"2013 Q2","102.7"
"2013 Q3","103.0"
"2013 Q4","103.5"
"2014 Q1","104.1"
"2014 Q2","102.7"
"2014 Q3","102.0"
"2014 Q4","101.8"
"2015 Q1","101.1"
"2015 Q2","100.4"
"2015 Q3","99.5"
"2015 Q4","99.1"
"2016 Q1","98.5"
"2016 Q2","97.6"
"2016 Q3","97.2"
"2016 Q4","97.3"
"2017 Q1","98.8"
"2017 Q2","99.5"
"2017 Q3","99.7"
"2017 Q4","101.2"
"2018 Q1","102.0"
"2018 Q2","101.8"
"2018 Q3","101.7"
"2018 Q4","101.9"
"2019 Q1","102.9"
"2019 Q2","102.9"
"2019 Q3","103.4"
"2019 Q4","103.6"
"2020 Q1","104.3"
"2020 Q2","104.4"
"2020 Q3","103.8"
"2020 Q4","103.1"
"2021 Q1","103.3"
"2021 Q2","103.6"
"2021 Q3","103.9"
"2021 Q4","105.8"
"2022 Q1","108.6"
"2022 Q2","112.3"
"2022 Q3","117.9"
"2022 Q4","123.3"
"2023 Q1","128.1"
"2023 Q2","132.7"
"2023 Q3","133.8"
"2023 Q4","134.5"
"2024 Q1","134.9"
"2024 Q2","135.4"
"2024 Q3","135.9"
"2024 Q4","137.2"
"2025 Q1","139.2"
"2025 Q2","141.0"
"1988 JAN","48.0"
"1988 FEB","48.3"
"1988 MAR","48.4"
"1988 APR","48.7"
"1988 MAY","48.8"
"1988 JUN","48.9"
"1988 JUL","48.5"
"1988 AUG","48.7"
"1988 SEP","48.9"
"1988 OCT","49.0"
"1988 NOV","49.3"
"1988 DEC","49.7"
"1989 JAN","50.1"
"1989 FEB","50.2"
"1989 MAR","50.5"
"1989 APR","51.1"
"1989 MAY","51.4"
"1989 JUN","51.6"
"1989 JUL","51.3"
"1989 AUG","51.5"
"1989 SEP","51.8"
"1989 OCT","52.4"
"1989 NOV","52.9"
"1989 DEC","53.4"
"1990 JAN","54.1"
"1990 FEB","54.6"
"1990 MAR","54.9"
"1990 APR","55.4"
"1990 MAY","56.1"
"1990 JUN","56.0"
"1990 JUL","55.4"
"1990 AUG","56.0"
"1990 SEP","56.1"
"1990 OCT","56.2"
"1990 NOV","56.6"
"1990 DEC","56.9"
"1991 JAN","57.3"
"1991 FEB","58.0"
"1991 MAR","58.0"
"1991 APR","58.7"
"1991 MAY","58.6"
"1991 JUN","59.2"
"1991 JUL","58.4"
"1991 AUG","59.0"
"1991 SEP","58.6"
"1991 OCT","58.6"
"1991 NOV","59.2"
"1991 DEC","59.3"
"1992 JAN","59.9"
"1992 FEB","60.2"
"1992 MAR","60.4"
"1992 APR","60.1"
"1992 MAY","60.4"
"1992 JUN","60.2"
"1992 JUL","59.4"
"1992 AUG","59.5"
"1992 SEP","59.3"
"1992 OCT","59.5"
"1992 NOV","59.4"
"1992 DEC","59.9"
"1993 JAN","60.0"
"1993 FEB","60.7"
"1993 MAR","61.2"
"1993 APR","60.9"
"1993 MAY","61.6"
"1993 JUN","61.3"
"1993 JUL","61.2"
"1993 AUG","61.2"
"1993 SEP","61.0"
"1993 OCT","60.5"
"1993 NOV","60.1"
"1993 DEC","60.2"
"1994 JAN","60.5"
"1994 FEB","60.9"
"1994 MAR","61.3"
"1994 APR","61.5"
"1994 MAY","62.0"
"1994 JUN","62.0"
"1994 JUL","61.6"
"1994 AUG","61.8"
"1994 SEP","61.2"
"1994 OCT","61.1"
"1994 NOV","61.3"
"1994 DEC","61.7"
"1995 JAN","62.4"
"1995 FEB","62.7"
"1995 MAR","63.2"
"1995 APR","63.1"
"1995 MAY","64.2"
"1995 JUN","63.9"
"1995 JUL","63.4"
"1995 AUG","64.5"
"1995 SEP","64.7"
"1995 OCT","63.8"
"1995 NOV","63.9"
"1995 DEC","64.5"
"1996 JAN","64.9"
"1996 FEB","65.6"
"1996 MAR","66.1"
"1996 APR","66.1"
"1996 MAY","66.6"
"1996 JUN","66.5"
"1996 JUL","65.6"
"1996 AUG","66.4"
"1996 SEP","65.7"
"1996 OCT","65.1"
"1996 NOV","64.8"
"1996 DEC","64.9"
"1997 JAN","65.4"
"1997 FEB","65.3"
"1997 MAR","64.9"
"1997 APR","65.1"
"1997 MAY","65.6"
"1997 JUN","66.2"
"1997 JUL","65.8"
"1997 AUG","66.0"
"1997 SEP","65.9"
"1997 OCT","65.9"
"1997 NOV","65.6"
"1997 DEC","65.6"
"1998 JAN","65.6"
"1998 FEB","65.5"
"1998 MAR","65.4"
"1998 APR","65.6"
"1998 MAY","66.6"
"1998 JUN","66.3"
"1998 JUL","66.2"
"1998 AUG","66.9"
"1998 SEP","66.6"
"1998 OCT","66.7"
"1998 NOV","66.6"
"1998 DEC","67.1"
"1999 JAN","67.3"
"1999 FEB","67.4"
"1999 MAR","67.0"
"1999 APR","66.6"
"1999 MAY","67.0"
"1999 JUN","66.6"
"1999 JUL","66.0"
"1999 AUG","65.9"
"1999 SEP","65.8"
"1999 OCT","65.7"
"1999 NOV","65.9"
"1999 DEC","66.0"
"2000 JAN","66.0"
"2000 FEB","65.9"
"2000 MAR","65.4"
"2000 APR","65.2"
"2000 MAY","65.9"
"2000 JUN","66.1"
"2000 JUL","66.6"
"2000 AUG","66.1"
"2000 SEP","66.3"
"2000 OCT","66.3"
"2000 NOV","66.7"
"2000 DEC","66.8"
"2001 JAN","67.0"
"2001 FEB","67.1"
"2001 MAR","67.9"
"2001 APR","68.1"
"2001 MAY","70.0"
"2001 JUN","70.4"
"2001 JUL","69.0"
"2001 AUG","68.8"
"2001 SEP","68.7"
"2001 OCT","68.8"
"2001 NOV","68.7"
"2001 DEC","69.1"
"2002 JAN","69.7"
"2002 FEB","69.6"
"2002 MAR","69.8"
"2002 APR","69.6"
"2002 MAY","69.4"
"2002 JUN","68.9"
"2002 JUL","68.8"
"2002 AUG","68.7"
"2002 SEP","68.8"
"2002 OCT","69.0"
"2002 NOV","68.9"
"2002 DEC","68.9"
"2003 JAN","68.9"
"2003 FEB","69.3"
"2003 MAR","69.6"
"2003 APR","69.8"
"2003 MAY","70.2"
"2003 JUN","69.8"
"2003 JUL","69.8"
"2003 AUG","69.8"
"2003 SEP","70.4"
"2003 OCT","70.5"
"2003 NOV","70.7"
"2003 DEC","70.9"
"2004 JAN","70.7"
"2004 FEB","70.9"
"2004 MAR","70.9"
"2004 APR","70.7"
"2004 MAY","70.9"
"2004 JUN","70.4"
"2004 JUL","69.9"
"2004 AUG","69.7"
"2004 SEP","69.9"
"2004 OCT","70.0"
"2004 NOV","70.4"
"2004 DEC","70.8"
"2005 JAN","71.0"
"2005 FEB","71.5"
"2005 MAR","72.1"
"2005 APR","71.4"
"2005 MAY","71.9"
"2005 JUN","71.9"
"2005 JUL","71.1"
"2005 AUG","71.2"
"2005 SEP","71.3"
"2005 OCT","71.1"
"2005 NOV","71.6"
"2005 DEC","72.0"
"2006 JAN","71.8"
"2006 FEB","72.2"
"2006 MAR","71.8"
"2006 APR","71.7"
"2006 MAY","72.7"
"2006 JUN","73.2"
"2006 JUL","73.3"
"2006 AUG","73.7"
"2006 SEP","74.1"
"2006 OCT","74.5"
"2006 NOV","75.2"
"2006 DEC","75.3"
"2007 JAN","74.6"
"2007 FEB","75.4"
"2007 MAR","75.8"
"2007 APR","76.0"
"2007 MAY","76.3"
"2007 JUN","76.7"
"2007 JUL","75.4"
"2007 AUG","75.9"
"2007 SEP","76.8"
"2007 OCT","78.0"
"2007 NOV","78.7"
"2007 DEC","79.4"
"2008 JAN","79.2"
"2008 FEB","79.6"
"2008 MAR","79.9"
"2008 APR","80.9"
"2008 MAY","82.3"
"2008 JUN","84.0"
"2008 JUL","84.7"
"2008 AUG","85.8"
"2008 SEP","85.5"
"2008 OCT","85.9"
"2008 NOV","87.1"
"2008 DEC","87.7"
"2009 JAN","87.3"
"2009 FEB","88.7"
"2009 MAR","88.3"
"2009 APR","87.9"
"2009 MAY","88.7"
"2009 JUN","88.5"
"2009 JUL","88.2"
"2009 AUG","87.6"
"2009 SEP","86.8"
"2009 OCT","87.7"
"2009 NOV","88.2"
"2009 DEC","89.1"
"2010 JAN","88.9"
"2010 FEB","89.9"
"2010 MAR","90.1"
"2010 APR","90.4"
"2010 MAY","90.3"
"2010 JUN","90.2"
"2010 JUL","91.1"
"2010 AUG","91.2"
"2010 SEP","91.3"
"2010 OCT","91.7"
"2010 NOV","93.1"
"2010 DEC","94.6"
"2011 JAN","94.5"
"2011 FEB","95.5"
"2011 MAR","94.2"
"2011 APR","94.3"
"2011 MAY","95.5"
"2011 JUN","96.5"
"2011 JUL","96.7"
"2011 AUG","96.9"
"2011 SEP","97.1"
"2011 OCT","96.2"
"2011 NOV","96.8"
"2011 DEC","98.1"
"2012 JAN","97.8"
"2012 FEB","99.0"
"2012 MAR","98.5"
"2012 APR","98.4"
"2012 MAY","98.7"
"2012 JUN","98.6"
"2012 JUL","98.8"
"2012 AUG","99.0"
"2012 SEP","99.0"
"2012 OCT","99.5"
"2012 NOV","100.6"
"2012 DEC","101.8"
"2013 JAN","101.9"
"2013 FEB","102.6"
"2013 MAR","102.2"
"2013 APR","102.9"
"2013 MAY","102.9"
"2013 JUN","102.4"
"2013 JUL","102.6"
"2013 AUG","103.1"
"2013 SEP","103.2"
"2013 OCT","103.4"
"2013 NOV","103.4"
"2013 DEC","103.8"
"2014 JAN","103.9"
"2014 FEB","104.5"
"2014 MAR","103.9"
"2014 APR","103.4"
"2014 MAY","102.3"
"2014 JUN","102.4"
"2014 JUL","102.2"
"2014 AUG","102.0"
"2014 SEP","101.8"
"2014 OCT","101.9"
"2014 NOV","101.7"
"2014 DEC","102.0"
"2015 JAN","101.3"
"2015 FEB","101.0"
"2015 MAR","100.9"
"2015 APR","100.5"
"2015 MAY","100.4"
"2015 JUN","100.2"
"2015 JUL","99.5"
"2015 AUG","99.5"
"2015 SEP","99.5"
"2015 OCT","99.1"
"2015 NOV","99.2"
"2015 DEC","99.0"
"2016 JAN","98.6"
"2016 FEB","98.8"
"2016 MAR","98.1"
"2016 APR","98.0"
"2016 MAY","97.6"
"2016 JUN","97.2"
"2016 JUL","96.9"
"2016 AUG","97.3"
"2016 SEP","97.3"
"2016 OCT","96.8"
"2016 NOV","97.2"
"2016 DEC","97.9"
"2017 JAN","98.1"
"2017 FEB","98.9"
"2017 MAR","99.3"
"2017 APR","99.5"
"2017 MAY","99.6"
"2017 JUN","99.4"
"2017 JUL","99.4"
"2017 AUG","99.4"
"2017 SEP","100.2"
"2017 OCT","100.6"
"2017 NOV","101.1"
"2017 DEC","101.8"
"2018 JAN","101.7"
"2018 FEB","101.9"
"2018 MAR","102.3"
"2018 APR","102.1"
"2018 MAY","101.9"
"2018 JUN","101.4"
"2018 JUL","101.7"
"2018 AUG","101.9"
"2018 SEP","101.7"
"2018 OCT","101.5"
"2018 NOV","101.6"
"2018 DEC","102.5"
"2019 JAN","102.6"
"2019 FEB","103.0"
"2019 MAR","103.1"
"2019 APR","102.8"
"2019 MAY","102.9"
"2019 JUN","103.1"
"2019 JUL","103.1"
"2019 AUG","103.7"
"2019 SEP","103.5"
"2019 OCT","102.8"
"2019 NOV","103.7"
"2019 DEC","104.3"
"2020 JAN","104.1"
"2020 FEB","104.3"
"2020 MAR","104.5"
"2020 APR","104.2"
"2020 MAY","104.8"
"2020 JUN","104.2"
"2020 JUL","103.9"
"2020 AUG","104.1"
"2020 SEP","103.4"
"2020 OCT","103.4"
"2020 NOV","103.1"
"2020 DEC","102.8"
"2021 JAN","103.4"
"2021 FEB","103.6"
"2021 MAR","103.0"
"2021 APR","103.8"
"2021 MAY","103.5"
"2021 JUN","103.6"
"2021 JUL","103.3"
"2021 AUG","104.4"
"2021 SEP","104.2"
"2021 OCT","104.7"
"2021 NOV","105.7"
"2021 DEC","107.1"
"2022 JAN","107.8"
"2022 FEB","108.9"
"2022 MAR","109.0"
"2022 APR","110.7"
"2022 MAY","112.4"
"2022 JUN","113.7"
"2022 JUL","116.3"
"2022 AUG","118.0"
"2022 SEP","119.3"
"2022 OCT","121.7"
"2022 NOV","123.1"
"2022 DEC","125.1"
"2023 JAN","125.8"
"2023 FEB","128.5"
"2023 MAR","129.9"
"2023 APR","131.7"
"2023 MAY","132.9"
"2023 JUN","133.4"
"2023 JUL","133.5"
"2023 AUG","134.0"
"2023 SEP","133.8"
"2023 OCT","134.0"
"2023 NOV","134.4"
"2023 DEC","135.1"
"2024 JAN","134.6"
"2024 FEB","134.9"
"2024 MAR","135.1"
"2024 APR","135.6"
"2024 MAY","135.2"
"2024 JUN","135.5"
"2024 JUL","135.5"
"2024 AUG","135.8"
"2024 SEP","136.3"
"2024 OCT","136.5"
"2024 NOV","137.1"
"2024 DEC","137.8"
"2025 JAN","139.0"
"2025 FEB","139.3"
"2025 MAR","139.2"
"2025 APR","140.2"
"2025 MAY","141.2"
"2025 JUN","141.6"
